,state_name,state_abbr
0,Alabama,AL
1,Arizona,AZ
2,Arkansas,AR
3,California,CA
4,Colorado,CO
5,Connecticut,CT
6,Delaware,DE
7,District of Columbia,DC
8,Florida,FL
9,Georgia,GA
10,Idaho,ID
11,Illinois,IL
12,Indiana,IN
13,Iowa,IA
14,Kansas,KS
15,Kentucky,KY
16,Louisiana,LA
17,Maine,ME
18,Montana,MT
19,Nebraska,NE
20,Nevada,NV
21,New Hampshire,NH
22,New Jersey,NJ
23,New Mexico,NM
24,New York,NY
25,North Carolina,NC
26,North Dakota,ND
27,Ohio,OH
28,Oklahoma,OK
29,Oregon,OR
30,Maryland,MD
31,Massachusetts,MA
32,Michigan,MI
33,Minnesota,MN
34,Mississippi,MS
35,Missouri,MO
36,Pennsylvania,PA
37,Rhode Island,RI
38,South Carolina,SC
39,South Dakota,SD
40,Tennessee,TN
41,Texas,TX
42,Utah,UT
43,Vermont,VT
44,Virginia,VA
45,Washington,WA
46,West Virginia,WV
47,Wisconsin,WI
48,Wyoming,WY
49,Alaska,AK
50,Hawaii,HI
